### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
JOR,Wind,3412,0
JOR,Waste,8513,117
JOR,Hydro,3412,0
JOR,Geothermal,3412,0
JOR,Biomass,13300,206
JOR,Nuclear,10608,0
JPN,Coal,10551,206
JPN,Gas,7732,117
JPN,Oil,11135,117
JPN,Solar,3412,0
JPN,Wind,3412,0
JPN,Waste,8513,117
JPN,Hydro,3412,0
JPN,Geothermal,3412,0
JPN,Biomass,13300,206
JPN,Nuclear,10608,0
KAZ,Coal,10551,206
KAZ,Gas,7732,117
KAZ,Oil,11135,117
KAZ,Solar,3412,0
KAZ,Wind,3412,0
KAZ,Waste,8513,117
KAZ,Hydro,3412,0
KAZ,Geothermal,3412,0
KAZ,Biomass,13300,206
KAZ,Nuclear,10608,0
KEN,Coal,10551,206
KEN,Gas,7732,117
KEN,Oil,11135,117
KEN,Solar,3412,0
KEN,Wind,3412,0
KEN,Waste,8513,117
KEN,Hydro,3412,0
KEN,Geothermal,3412,0
KEN,Biomass,13300,206
KEN,Nuclear,10608,0
KGZ,Coal,10551,206
KGZ,Gas,7732,117
KGZ,Oil,11135,117
KGZ,Solar,3412,0
KGZ,Wind,3412,0
KGZ,Waste,8513,117
KGZ,Hydro,3412,0
KGZ,Geothermal,3412,0
KGZ,Biomass,13300,206
KGZ,Nuclear,10608,0
KHM,Coal,10551,206
KHM,Gas,7732,117
KHM,Oil,11135,117
KHM,Solar,3412,0
KHM,Wind,3412,0
KHM,Waste,8513,117
KHM,Hydro,3412,0
KHM,Geothermal,3412,0
KHM,Biomass,13300,206
KHM,Nuclear,10608,0
KOR,Coal,10551,206
KOR,Gas,7732,117
KOR,Oil,11135,117
KOR,Solar,3412,0
KOR,Wind,3412,0
KOR,Waste,8513,117
KOR,Hydro,3412,0
KOR,Geothermal,3412,0
KOR,Biomass,13300,206
KOR,Nuclear,10608,0
KOS,Coal,10551,206
KOS,Gas,7732,117
KOS,Oil,11135,117
KOS,Solar,3412,0
KOS,Wind,3412,0
KOS,Waste,8513,117
KOS,Hydro,3412,0
KOS,Geothermal,3412,0
KOS,Biomass,13300,206
KOS,Nuclear,10608,0
KWT,Coal,10551,206
KWT,Gas,7732,117
KWT,Oil,11135,117
KWT,Solar,3412,0
KWT,Wind,3412,0
KWT,Waste,8513,117
KWT,Hydro,3412,0
KWT,Geothermal,3412,0
KWT,Biomass,13300,206
KWT,Nuclear,10608,0
LAO,Coal,10551,206
LAO,Gas,7732,117
LAO,Oil,11135,117
LAO,Solar,3412,0
LAO,Wind,3412,0
LAO,Waste,8513,117
LAO,Hydro,3412,0
LAO,Geothermal,3412,0
LAO,Biomass,13300,206
LAO,Nuclear,10608,0
LBN,Coal,10551,206
LBN,Gas,7732,117
LBN,Oil,11135,117
LBN,Solar,3412,0
LBN,Wind,3412,0
LBN,Waste,8513,117
LBN,Hydro,3412,0
LBN,Geothermal,3412,0
LBN,Biomass,13300,206
LBN,Nuclear,10608,0
LBR,Coal,10551,206
LBR,Gas,7732,117
LBR,Oil,11135,117
LBR,Solar,3412,0
LBR,Wind,3412,0
LBR,Waste,8513,117
LBR,Hydro,3412,0
LBR,Geothermal,3412,0
LBR,Biomass,13300,206
LBR,Nuclear,10608,0
LBY,Coal,10551,206
LBY,Gas,7732,117
LBY,Oil,11135,117
LBY,Solar,3412,0
LBY,Wind,3412,0
LBY,Waste,8513,117
LBY,Hydro,3412,0
LBY,Geothermal,3412,0
LBY,Biomass,13300,206
LBY,Nuclear,10608,0
LKA,Coal,10551,206
LKA,Gas,7732,117
LKA,Oil,11135,117
LKA,Solar,3412,0
LKA,Wind,3412,0
LKA,Waste,8513,117
LKA,Hydro,3412,0
LKA,Geothermal,3412,0
LKA,Biomass,13300,206
LKA,Nuclear,10608,0
LSO,Coal,10551,206
LSO,Gas,7732,117
LSO,Oil,11135,117
LSO,Solar,3412,0
LSO,Wind,3412,0
LSO,Waste,8513,117
LSO,Hydro,3412,0
LSO,Geothermal,3412,0
LSO,Biomass,13300,206
